date,category,description,amount
2026-04-01,Transport,Toll road,17.42
2026-04-02,Utilities,Electric bill,72.52
2026-04-03,Dining,Date night dinner,60.51
2026-04-04,Travel,Flight,400.14
2026-04-05,Gifts,Wedding gift,114.63
2026-04-06,Fees,Late payment fee,34.35
2026-04-07,Personal Care,Haircut,48.46
2026-04-08,Shopping,Home supplies,13.36
2026-04-09,Transport,Gas station,54.18
2026-04-10,Transport,Oil change,59.75
2026-04-11,Personal Care,Dry cleaning,26.25
2026-04-12,Household,Cleaning supplies,37.59
2026-04-13,Food,Grocery store,89.81
2026-04-14,Food,Coffee shop,9.60
2026-04-15,Personal Care,Spa treatment,93.30
2026-04-16,Transport,Tire rotation,38.41
2026-04-17,Household,Hardware store,35.79
2026-04-18,Transport,Parking fee,10.55
2026-04-19,Childcare,Daycare,324.67
2026-04-20,Transport,Train ticket,28.52
2026-04-21,Pets,Vet visit,88.83
2026-04-22,Food,Restaurant lunch,33.33
2026-04-23,Healthcare,Dentist,121.16
2026-04-24,Food,Farmers market,21.20
2026-04-25,Healthcare,Doctor copay,40.00
2026-04-26,Utilities,Mobile phone bill,67.42
2026-04-27,Entertainment,Books,15.20
2026-04-28,Shopping,Clothing store,86.58
2026-04-29,Childcare,Babysitter,86.20
2026-04-30,Fees,Bank service fee,12.00
2026-04-01,Gifts,Birthday gift,27.65
2026-04-02,Transport,Ride share,34.17
2026-04-03,Utilities,Internet bill,59.99
2026-04-04,Pets,Pet food,39.94
2026-04-05,Housing,HOA fee,174.19
2026-04-06,Utilities,Natural gas bill,48.75
2026-04-07,Utilities,Trash and recycling,15.20
2026-04-08,Travel,Hotel stay,173.93
2026-04-09,Dining,Brunch,23.91
2026-04-10,Food,Coffee shop,14.59
2026-04-11,Shopping,Sporting goods,82.62
2026-04-12,Shopping,Shoes,52.39
2026-04-13,Transport,Car wash,16.61
2026-04-14,Entertainment,Board games,21.51
2026-04-15,Healthcare,Health insurance premium,185.00
2026-04-16,Healthcare,Gym membership,35.00
2026-04-17,Pets,Pet supplies,23.18
2026-04-18,Healthcare,Therapy session,54.32
2026-04-19,Transport,Car insurance payment,116.04
2026-04-20,Fees,Credit card annual fee,95.00
2026-04-21,Household,Kitchen supplies,23.41
2026-04-22,Entertainment,Concert tickets,64.66
2026-04-23,Entertainment,Netflix subscription,15.99
2026-04-24,Subscriptions,Gym app premium,6.75
2026-04-25,Shopping,Amazon purchase,45.87
2026-04-26,Food,Fast food,21.99
2026-04-27,Savings,Transfer to savings,426.00
2026-04-28,Entertainment,Spotify subscription,10.99
2026-04-29,Shopping,Furniture,172.05
2026-04-30,Education,Online course,26.50
2026-04-01,Healthcare,Specialist visit,106.74
2026-04-02,Healthcare,Urgent care,130.57
2026-04-03,Household,Plants and garden,33.45
2026-04-04,Healthcare,Vision exam and glasses,169.20
2026-04-05,Transport,Bus pass,45.00
2026-04-06,Fees,ATM fee,3.00
2026-04-07,Entertainment,Theme park,84.64
2026-04-08,Gifts,Charitable donation,27.57
2026-04-09,Subscriptions,Cloud storage,2.99
2026-04-10,Travel,Travel meals,28.57
2026-04-11,Food,Grocery store,50.39
2026-04-12,Healthcare,Pharmacy,12.38
2026-04-13,Entertainment,Bowling night,40.89
2026-04-14,Utilities,Cable TV,44.91
2026-04-15,Subscriptions,News subscription,12.00
2026-04-16,Food,Grocery store,93.60
2026-04-17,Utilities,Water bill,44.67
2026-04-18,Entertainment,Movie tickets,34.31
2026-05-01,Shopping,Home supplies,59.54
2026-05-02,Household,Plants and garden,38.57
2026-05-03,Transport,Ride share,18.05
2026-05-04,Subscriptions,News subscription,12.00
2026-05-05,Food,Restaurant dinner,37.81
2026-05-06,Food,Grocery store,82.84
2026-05-07,Food,Farmers market,36.97
2026-05-08,Entertainment,Concert tickets,45.56
2026-05-09,Healthcare,Therapy session,44.49
2026-05-10,Transport,Auto repair,337.98
2026-05-11,Shopping,Online order,58.29
2026-05-12,Healthcare,Pharmacy,27.19
2026-05-13,Healthcare,Health insurance premium,185.00
2026-05-14,Healthcare,Specialist visit,63.38
2026-05-15,Food,Meal kit subscription,65.18
2026-05-16,Food,Grocery store,73.92
2026-05-17,Food,Coffee shop,10.56
2026-05-18,Entertainment,Museum visit,16.24
2026-05-19,Education,Textbooks,71.46
2026-05-20,Rent,Storage unit,68.02
2026-05-21,Food,Takeout dinner,51.43
2026-05-22,Pets,Pet supplies,31.00
2026-05-23,Shopping,Shoes,116.48
2026-05-24,Childcare,Babysitter,73.26
2026-05-25,Personal Care,Dry cleaning,22.67
2026-05-26,Travel,Rental car,65.36
2026-05-27,Healthcare,Vision exam and glasses,146.86
2026-05-28,Entertainment,Spotify subscription,10.99
2026-05-29,Food,Fast food,15.55
2026-05-30,Travel,Hotel stay,216.24
2026-05-31,Healthcare,Pharmacy,46.17
2026-05-01,Insurance,Renters insurance,22.00
2026-05-02,Transport,Car insurance payment,109.85
2026-05-03,Healthcare,Urgent care,195.65
2026-05-04,Shopping,Furniture,113.57
2026-05-05,Entertainment,Theme park,72.77
2026-05-06,Utilities,Electric bill,72.51
